Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39257858,05/22/2018 05:53:00 AM,05/22/2018 07:11:00 AM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,11235,3154 EMMONS AVENUE,EMMONS AVENUE,FORD ST,COYLE ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/22/2018 07:11:00 AM,15 BROOKLYN,BROOKLYN,1002573,152070,Unspecified,BROOKLYN,,,,,,,,40.58405418317125,-73.93403369871321,"(40.58405418317125, -73.93403369871321)"
39257194,05/22/2018 11:42:00 AM,06/06/2018 08:49:00 AM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,11230,264 AVENUE O,AVENUE O,DAHILL RD,MC DONALD AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/06/2018 08:49:00 AM,11 BROOKLYN,BROOKLYN,991369,161978,Unspecified,BROOKLYN,,,,,,,,40.611265718656185,-73.97435979452284,"(40.611265718656185, -73.97435979452284)"
39252426,05/21/2018 03:43:00 PM,06/21/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,11233,457 HALSEY STREET,HALSEY STREET,LEWIS AVE,STUYVESANT AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/21/2018 12:00:00 AM,03 BROOKLYN,BROOKLYN,1002506,188344,Unspecified,BROOKLYN,,,,,,,,40.68361871362327,-73.93417677964638,"(40.68361871362327, -73.93417677964638)"
39251018,05/21/2018 11:15:00 AM,06/06/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,11220,358 SENATOR STREET,SENATOR STREET,3 AVE,4 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/06/2018 12:00:00 AM,10 BROOKLYN,BROOKLYN,977579,171190,Unspecified,BROOKLYN,,,,,,,,40.636551078130964,-74.02403576646762,"(40.636551078130964, -74.02403576646762)"
39249805,05/21/2018 08:41:00 PM,05/22/2018 08:22:00 AM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,11362,47-20 245 STREET,245 STREET,BEND,VAN ZANDT AVE,,,ADDRESS,Little Neck,,N/A,Closed,,05/22/2018 08:22:00 AM,11 QUEENS,QUEENS,1056332,217341,Unspecified,QUEENS,,,,,,,,40.76293342679836,-73.73979371153894,"(40.76293342679836, -73.73979371153894)"
39249619,05/21/2018 09:58:00 AM,06/06/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,11215,394 15 STREET,15 STREET,7 AVE,8 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/06/2018 12:00:00 AM,07 BROOKLYN,BROOKLYN,988888,180695,Unspecified,BROOKLYN,,,,,,,,40.66264153784909,-73.98328264332082,"(40.66264153784909, -73.98328264332082)"
39248870,05/21/2018 09:45:00 AM,06/06/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,11362,46-41 HANFORD STREET,HANFORD STREET,BEND,RUSHMORE AVE,,,ADDRESS,Little Neck,,N/A,Closed,,06/06/2018 12:00:00 AM,11 QUEENS,QUEENS,1054853,217442,Unspecified,QUEENS,,,,,,,,40.76322257949399,-73.74513161060969,"(40.76322257949399, -73.74513161060969)"
39248774,05/21/2018 10:21:00 AM,06/06/2018 08:44:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10010,18 WEST   21 STREET,WEST   21 STREET,5 AVE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,N/A,Closed,,06/06/2018 08:44:00 AM,05 MANHATTAN,MANHATTAN,986639,209104,Unspecified,MANHATTAN,,,,,,,,40.740618474204794,-73.99137893358105,"(40.740618474204794, -73.99137893358105)"
39248759,05/21/2018 10:33:00 PM,05/31/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10033,371 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,W 176 ST,W 177 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,05/31/2018 12:00:00 AM,12 MANHATTAN,MANHATTAN,1000949,248079,Unspecified,MANHATTAN,,,,,,,,40.84757882294135,-73.93964224088579,"(40.84757882294135, -73.93964224088579)"
39248726,05/21/2018 08:35:00 PM,05/22/2018 08:48:00 AM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,11362,47-20 245 STREET,245 STREET,BEND,VAN ZANDT AVE,,,ADDRESS,Little Neck,,N/A,Closed,,05/22/2018 08:48:00 AM,11 QUEENS,QUEENS,1056332,217341,Unspecified,QUEENS,,,,,,,,40.76293342679836,-73.73979371153894,"(40.76293342679836, -73.73979371153894)"
39247914,05/21/2018 03:22:00 PM,05/24/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11231,25 TOMPKINS PLACE,TOMPKINS PLACE,KANE ST,DE GRAW ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/24/2018 12:00:00 AM,06 BROOKLYN,BROOKLYN,985438,188863,Unspecified,BROOKLYN,,,,,,,,40.68506199697574,-73.99571649479785,"(40.68506199697574, -73.99571649479785)"
39246623,05/21/2018 05:06:00 PM,05/22/2018 10:11:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11231,25 TOMPKINS PLACE,TOMPKINS PLACE,KANE ST,DE GRAW ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/22/2018 10:11:00 AM,06 BROOKLYN,BROOKLYN,985438,188863,Unspecified,BROOKLYN,,,,,,,,40.68506199697574,-73.99571649479785,"(40.68506199697574, -73.99571649479785)"
39246042,05/20/2018 10:29:00 PM,05/22/2018 09:27:00 AM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,11217,259 HOYT STREET,HOYT STREET,DOUGLASS ST,DE GRAW ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/22/2018 09:27:00 AM,06 BROOKLYN,BROOKLYN,986833,187856,Unspecified,BROOKLYN,,,,,,,,40.682297714457285,-73.99068700731394,"(40.682297714457285, -73.99068700731394)"
39245144,05/21/2018 06:34:00 PM,06/18/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11421,93-13 95 STREET,95 STREET,93 AVE,ATLANTIC AVE,,,ADDRESS,Woodhaven,,N/A,Closed,,06/18/2018 12:00:00 AM,09 QUEENS,QUEENS,1026360,190288,Unspecified,QUEENS,,,,,,,,40.688873199036806,-73.84815757213363,"(40.688873199036806, -73.84815757213363)"
39243871,05/21/2018 09:49:00 AM,06/06/2018 08:43:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10010,18 WEST   21 STREET,WEST   21 STREET,5 AVE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,N/A,Closed,,06/06/2018 08:43:00 AM,05 MANHATTAN,MANHATTAN,986639,209104,Unspecified,MANHATTAN,,,,,,,,40.740618474204794,-73.99137893358105,"(40.740618474204794, -73.99137893358105)"
39243835,05/21/2018 03:49:00 PM,06/25/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11432,82-78 160 STREET,160 STREET,82 DR,GRAND CENTRAL PARKWAY SR N,,,ADDRESS,Jamaica,,N/A,Closed,,06/25/2018 12:00:00 AM,08 QUEENS,QUEENS,1038069,200429,Unspecified,QUEENS,,,,,,,,40.716644341439334,-73.80585572995217,"(40.716644341439334, -73.80585572995217)"
39241736,05/20/2018 12:08:00 PM,05/21/2018 06:49:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,11235,3154 EMMONS AVENUE,EMMONS AVENUE,FORD ST,COYLE ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/21/2018 06:49:00 AM,15 BROOKLYN,BROOKLYN,1002573,152070,Unspecified,BROOKLYN,,,,,,,,40.58405418317125,-73.93403369871321,"(40.58405418317125, -73.93403369871321)"
39238415,05/20/2018 06:34:00 PM,05/22/2018 07:01:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10035,12 EAST  125 STREET,EAST  125 STREET,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,05/22/2018 07:01:00 AM,11 MANHATTAN,MANHATTAN,1000375,233000,Unspecified,MANHATTAN,,,,,,,,40.806192343397875,-73.94175317731008,"(40.806192343397875, -73.94175317731008)"
39237592,05/20/2018 11:09:00 AM,05/23/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,11378,66-42 58 AVENUE,58 AVENUE,66 ST,BROWN PL,,,ADDRESS,Maspeth,,N/A,Closed,,05/23/2018 12:00:00 AM,05 QUEENS,QUEENS,1012798,203026,Unspecified,QUEENS,,,,,,,,40.72389011392169,-73.8970060767318,"(40.72389011392169, -73.8970060767318)"
39237589,05/20/2018 06:30:00 PM,05/21/2018 06:56:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10029,107 EAST  105 STREET,EAST  105 STREET,PARK AVE,LEXINGTON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,05/21/2018 06:56:00 AM,11 MANHATTAN,MANHATTAN,998604,227890,Unspecified,MANHATTAN,,,,,,,,40.79216984408911,-73.94816131603118,"(40.79216984408911, -73.94816131603118)"
39237455,05/20/2018 08:15:00 PM,05/21/2018 08:56:00 AM,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,11201,101 CLARK STREET,CLARK STREET,HENRY ST,MONROE PL,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/21/2018 08:56:00 AM,02 BROOKLYN,BROOKLYN,986384,193316,Unspecified,BROOKLYN,,,,,,,,40.69728427753766,-73.99230414488979,"(40.69728427753766, -73.99230414488979)"
39233385,05/19/2018 11:12:00 AM,06/22/2018 08:35:00 PM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10309,2955 VETERANS ROAD WEST,VETERANS ROAD WEST,TYRELLAN AVE,W SHORE EXPRESSWAY EXIT 1  SB,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/22/2018 08:35:00 PM,03 STATEN ISLAND,STATEN ISLAND,919576,131657,Unspecified,STATEN ISLAND,,,,,,,,40.52780761987467,-74.23264307632441,"(40.52780761987467, -74.23264307632441)"
39230365,05/19/2018 07:33:00 PM,05/21/2018 06:55:00 AM,DEP,Department of Environmental Protection,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",,11235,3154 EMMONS AVENUE,EMMONS AVENUE,FORD ST,COYLE ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/21/2018 06:55:00 AM,15 BROOKLYN,BROOKLYN,1002573,152070,Unspecified,BROOKLYN,,,,,,,,40.58405418317125,-73.93403369871321,"(40.58405418317125, -73.93403369871321)"
39228941,05/18/2018 09:38:00 AM,05/29/2018 01:14:00 PM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,11225,126 HAWTHORNE STREET,HAWTHORNE STREET,BEDFORD AVE,ROGERS AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/29/2018 01:14:00 PM,09 BROOKLYN,BROOKLYN,996520,178822,Unspecified,BROOKLYN,,,,,,,,40.657493278982784,-73.95577702802362,"(40.657493278982784, -73.95577702802362)"
39227076,05/18/2018 10:46:00 AM,05/21/2018 12:00:00 PM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,10027,488 WEST  128 STREET,WEST  128 STREET,CONVENT AVE,AMSTERDAM AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,05/21/2018 12:00:00 PM,09 MANHATTAN,MANHATTAN,996739,235927,Unspecified,MANHATTAN,,,,,,,,40.81423203274967,-73.95488171013037,"(40.81423203274967, -73.95488171013037)"
39223701,05/18/2018 12:47:00 PM,05/21/2018 07:25:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11203,701 FENIMORE STREET,FENIMORE STREET,ALBANY AVE,TROY AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/21/2018 07:25:00 AM,09 BROOKLYN,BROOKLYN,1001179,179525,Unspecified,BROOKLYN,,,,,,,,40.65941517743085,-73.9389835134306,"(40.65941517743085, -73.9389835134306)"
39223693,05/18/2018 10:10:00 AM,05/21/2018 06:52:00 AM,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,10312,126 GREEN VALLEY ROAD,GREEN VALLEY ROAD,BEND,MANCHESTER DR,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,05/21/2018 06:52:00 AM,03 STATEN ISLAND,STATEN ISLAND,929788,139508,Unspecified,STATEN ISLAND,,,,,,,,40.549425652877,-74.19597213839124,"(40.549425652877, -74.19597213839124)"
39222850,05/16/2018 10:05:00 AM,06/06/2018 08:43:00 AM,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10314,78 BEECHWOOD PLACE,BEECHWOOD PLACE,DONGAN AVE,VICTORY BLVD,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/06/2018 08:43:00 AM,01 STATEN ISLAND,STATEN ISLAND,950760,163178,Unspecified,STATEN ISLAND,,,,,,,,40.61449903981975,-74.1206254154347,"(40.61449903981975, -74.1206254154347)"
39221956,05/16/2018 06:25:00 PM,06/06/2018 08:43:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,10280,355 SOUTH END AVENUE,SOUTH END AVENUE,ALBANY ST,LIBERTY ST,,,ADDRESS,NEW YORK,,N/A,Closed,,06/06/2018 08:43:00 AM,01 MANHATTAN,MANHATTAN,979790,198257,Unspecified,MANHATTAN,,,,,,,,40.710845294025766,-74.01608739310964,"(40.710845294025766, -74.01608739310964)"
39218281,05/17/2018 05:53:00 PM,05/23/2018 07:20:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10033,815 WEST  180 STREET,WEST  180 STREET,PINEHURST AVE,CABRINI BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,05/23/2018 07:20:00 AM,12 MANHATTAN,MANHATTAN,1000911,249042,Unspecified,MANHATTAN,,,,,,,,40.850222044677935,-73.93977719709362,"(40.850222044677935, -73.93977719709362)"
39217693,05/17/2018 08:10:00 AM,06/12/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,11238,354 CARLTON AVENUE,CARLTON AVENUE,LAFAYETTE AVE,GREENE AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/12/2018 12:00:00 AM,02 BROOKLYN,BROOKLYN,992124,189530,Unspecified,BROOKLYN,,,,,,,,40.68688933663693,-73.97160837976656,"(40.68688933663693, -73.97160837976656)"
39216781,05/17/2018 10:19:00 AM,06/06/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11230,1565 EAST    7 STREET,EAST    7 STREET,AVENUE N,AVENUE O,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/06/2018 12:00:00 AM,12 BROOKLYN,BROOKLYN,993437,162558,Unspecified,BROOKLYN,,,,,,,,40.61285579631927,-73.96691077668548,"(40.61285579631927, -73.96691077668548)"
39215622,05/17/2018 02:33:00 PM,05/18/2018 07:33:00 AM,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11225,115 LINCOLN ROAD,LINCOLN ROAD,FLATBUSH AVE,BEDFORD AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,05/18/2018 07:33:00 AM,09 BROOKLYN,BROOKLYN,995681,180127,Unspecified,BROOKLYN,,,,,,,,40.66107633929644,-73.95879870068023,"(40.66107633929644, -73.95879870068023)"
39215212,05/17/2018 01:57:00 PM,06/25/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11221,16 CHARLES PLACE,CHARLES PLACE,WILLOUGHBY AVE,DEAD END,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/25/2018 12:00:00 AM,04 BROOKLYN,BROOKLYN,1003204,193529,Unspecified,BROOKLYN,,,,,,,,40.69784887225228,-73.93164550719143,"(40.69784887225228, -73.93164550719143)"
39214086,05/17/2018 10:17:00 AM,06/25/2018 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Cloudy Or Milky Water (QB1),,11379,61-19 78 STREET,78 STREET,ELIOT AVE,62 AVE,,,ADDRESS,Middle Village,,N/A,Closed,,06/25/2018 12:00:00 AM,05 QUEENS,QUEENS,1017402,202971,Unspecified,QUEENS,,,,,,,,40.72372309629508,-73.88039630582381,"(40.72372309629508, -73.88039630582381)"
